,ANO,Média salarial
0,2008,2.625
0,2009,2.675
0,2010,2.675
0,2011,2.6999999999999997
0,2012,2.55
0,2013,2.6
0,2014,2.6
0,2015,2.55
0,2016,2.475
0,2017,2.6
0,2018,2.7
0,2019,2.675
