,ANO,Média salarial
0,2008,5.0
0,2009,4.7
0,2010,4.5
0,2011,4.5
0,2012,4.1
0,2013,4.0
0,2014,4.0
0,2015,4.0
0,2016,3.7
0,2017,3.7
0,2018,3.7
0,2019,3.5
